PROVINCIA,Educacion,Varon,Mujer,Ratio,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot
Buenos Aires,Educación superior,27.636271225757174,46.469660013870204,168.14735835477038,1218,1619,1159802.0491844853,1458756.996075368,2618559.0452598534
Buenos Aires,Hasta secundario incompleto,42.30994505054183,27.63565062406518,65.31715082837545,1672,841,1775607.156611155,867527.3001118774,2643134.4567230325
Buenos Aires,Secundario completo,30.053783723701006,25.89468936206461,86.16116226870811,1288,891,1261256.9786914429,812875.7399308581,2074132.718622301
CABA,Educación superior,62.32971752519047,76.15548222659886,122.18165788385089,422,488,498302.86189530464,573519.5081549597,1071822.3700502643
CABA,Hasta secundario incompleto,16.368301175364003,10.420070943827465,63.66006363269242,120,67,130858.46758011979,78472.53786486344,209331.00544498322
CABA,Secundario completo,21.301981299445533,13.424446829573686,63.019709954975454,162,93,170301.40143446016,101098.19960223968,271399.60103669984
Catamarca,Educación superior,25.584691144077432,49.65623368160026,194.08572650717778,267,419,19162.571386095842,28624.357214852564,47786.928600948406
Catamarca,Hasta secundario incompleto,35.73694875657248,19.77432056146323,55.33298518616948,387,169,26766.468581255296,11398.915573455271,38165.38415471057
Catamarca,Secundario completo,38.678360099350094,30.569445756936503,79.03500996013054,396,243,28969.544026428142,17621.770124922812,46591.314151350954
Chaco,Educación superior,22.395390388176967,42.98467232797157,191.93535626270733,197,263,55426.784650033056,66235.05179542725,121661.8364454603
Chaco,Hasta secundario incompleto,50.82950318546418,29.150482714328156,57.34953302212165,407,171,125798.92013921837,44917.95860890642,170716.8787481248
Chaco,Secundario completo,26.775106426358843,27.864844957700274,104.06996900026748,263,185,66266.22854759323,42936.92028085589,109203.14882844912
Chubut,Educación superior,27.012529065269792,44.04007119864926,163.0357198033408,314,413,37765.427595160705,44965.68402649593,82731.11162165663
Chubut,Hasta secundario incompleto,41.37597544351277,26.314474635048118,63.598439318906486,525,278,57846.54228471156,26867.539482976736,84714.0817676883
Chubut,Secundario completo,31.611495491217433,29.64545416630262,93.78061273481657,365,294,44195.108176051035,30268.527924287642,74463.63610033868
Corrientes,Educación superior,26.174532957051305,44.334087649846076,169.3787152672104,259,301,60227.00045028493,68111.64311086049,128338.64356114542
Corrientes,Hasta secundario incompleto,40.79834319450368,26.028787533261173,63.798638609343705,382,170,93876.05264927195,39988.72156964427,133864.77421891622
Corrientes,Secundario completo,33.027123848445015,29.637124816892758,89.73571223728625,331,204,75994.65503952967,45532.30652457634,121526.96156410601
Córdoba,Educación superior,25.16607664142493,44.06687690532876,175.1042784030624,625,756,225399.1203003655,272673.84630099445,498072.96660135995
Córdoba,Hasta secundario incompleto,46.14306958749354,28.985578976386556,62.81675500895309,823,406,413278.85316297365,179354.8774453046,592633.7306082782
Córdoba,Secundario completo,28.690853771081525,26.94754411828468,93.92381395581198,551,367,256968.66829147664,166744.0721720373,423712.74046351394
Entre Ríos,Educación superior,21.863886340675677,45.595222585606834,208.54125325734643,396,544,64959.95535687144,99487.01693016848,164446.9722870399
Entre Ríos,Hasta secundario incompleto,46.56243900016987,28.73563098167522,61.71418765578493,646,265,138342.0089012688,62700.03837804377,201042.04727931257
Entre Ríos,Secundario completo,31.57367465915445,25.669146432717948,81.29920482751112,501,317,93808.7796630794,56009.08737620534,149817.86703928473
Formosa,Educación superior,13.999058432676225,37.78410551072004,269.90462031735933,130,181,14915.718512845855,21294.69203603765,36210.410548883505
Formosa,Hasta secundario incompleto,51.12563986372004,29.91756709632247,58.51773625928285,427,138,54473.353094690676,16861.200474970286,71334.55356966096
Formosa,Secundario completo,34.875301703603725,32.298327392957496,92.61089027258524,302,150,37158.940778996446,18202.969894762024,55361.910673758466
Jujuy,Educación superior,22.322860780563246,41.882586680608604,187.62194994772454,330,522,38812.03435521638,55246.27122799454,94058.30558321092
Jujuy,Hasta secundario incompleto,40.736111263733186,25.299362208185844,62.10549172058435,587,305,70826.55603185805,33371.755118836416,104198.31115069447
Jujuy,Secundario completo,36.94102795570357,32.81805111120555,88.83903055041692,530,408,64228.167716844015,43289.46936086191,107517.63707770593
La Pampa,Educación superior,22.62871638996603,41.474204421664055,183.28129491275274,131,211,16592.209140953313,22649.85485448902,39242.06399544234
La Pampa,Hasta secundario incompleto,46.26010119805,30.581821676740716,66.10841931757345,315,175,33919.611732818346,16701.316681610057,50620.9284144284
La Pampa,Secundario completo,31.11118241198397,27.943973901595225,89.81971026222152,188,150,22811.865962970838,15260.737650175437,38072.603613146275
La Rioja,Educación superior,26.10977599614878,47.70327319134785,182.70272865758835,293,423,22075.219643456716,30238.500747122835,52313.72039057955
La Rioja,Hasta secundario incompleto,32.501163042209896,17.05194559239689,52.465647368530156,377,157,27478.99150610901,10809.01235995505,38288.00386606406
La Rioja,Secundario completo,41.38906096164131,35.244781216255255,85.15482206498845,466,308,34993.50632879499,22341.220462272493,57334.726791067485
Mendoza,Educación superior,29.620231720635775,50.53990894341397,170.62631184010593,417,544,125751.06591721518,149020.96925958307,274772.03517679824
Mendoza,Hasta secundario incompleto,45.83090340426686,25.784597453213355,56.26028626529933,622,253,194572.58165270623,76027.9506785054,270600.5323312116
Mendoza,Secundario completo,24.548864875097372,23.675493603372683,96.44231504728089,340,236,104220.85668392999,69809.08905918045,174029.94574311044
Misiones,Educación superior,22.66406107080387,40.2675420012965,177.67134440512805,264,333,53102.82858965484,65802.39350207354,118905.22209172838
Misiones,Hasta secundario incompleto,50.436321948250686,34.26630389516607,67.93973583229248,450,236,118174.37972583105,55995.59100723741,174169.97073306848
Misiones,Secundario completo,26.899616980945446,25.466154103537438,94.6710658429694,277,193,63026.91054370023,41615.00330095791,104641.91384465815
Neuquén,Educación superior,21.846601054518313,41.11895602786929,188.2167204191476,173,282,30605.332112597625,44350.60718510785,74955.93929770548
Neuquén,Hasta secundario incompleto,45.49904930768759,30.865400347923377,67.83746213947444,390,217,63740.51100188119,33291.1965350978,97031.707536979
Neuquén,Secundario completo,32.654349637794105,28.015643624207332,85.79452334822206,280,204,45746.11918309715,30217.46964035398,75963.58882345114
Río Negro,Educación superior,22.521110537520332,41.441911588895366,184.01362366146572,272,374,34485.2084867829,46514.00534534469,80999.2138321276
Río Negro,Hasta secundario incompleto,40.533935281396076,23.370358054394167,57.65627712224748,441,215,62067.15280047707,26230.666438562443,88297.81923903951
Río Negro,Secundario completo,36.94495418108358,35.187730356710475,95.24367031080841,392,292,56571.564059717435,39494.372125950606,96065.93618566805
Salta,Educación superior,21.937895817673038,37.112774629010495,169.171988678662,397,534,66849.53406147295,86740.36109557706,153589.89515705
Salta,Hasta secundario incompleto,49.145085697326245,32.59671658919796,66.3275200901143,733,408,149755.75176315583,76185.38348967965,225941.13525283546
Salta,Secundario completo,28.917018485000717,30.29050878179154,104.74976456339458,495,405,88116.4368832499,70795.29072578528,158911.72760903518
San Juan,Educación superior,20.338104611585912,40.703555604501695,200.13445884880684,252,332,35643.99159618381,46167.54483313091,81811.53642931473
San Juan,Hasta secundario incompleto,50.00722332603884,31.478620219007848,62.94814653829596,659,279,87641.25674554805,35704.266830326145,123345.52357587419
San Juan,Secundario completo,29.65467206237524,27.817824176490465,93.80587354997158,380,228,51971.94635220568,31552.050570398787,83523.99692260448
San Luis,Educación superior,21.157909339006792,37.17701134810691,175.71212142197453,233,305,23006.41918390355,28707.753802132695,51714.17298603624
San Luis,Hasta secundario incompleto,41.44163995772824,23.48351153602608,56.66646291020333,475,179,45062.28499515156,18133.756403205567,63196.04139835713
San Luis,Secundario completo,37.400450703264966,39.33947711586701,105.18450012270246,399,302,40668.02786416637,30377.590419313008,71045.61828347937
Santa Cruz,Educación superior,18.246099001555383,38.74574008580704,212.35081582372305,124,215,16607.815115192025,27482.29385491836,44090.108970110385
Santa Cruz,Hasta secundario incompleto,49.62511562823242,29.22115096452992,58.88379421307705,283,138,45169.367181086476,20726.51743927619,65895.88462036266
Santa Cruz,Secundario completo,32.1287853702122,32.03310894966304,99.70220965577533,191,160,29244.00044407766,22721.03491355772,51965.03535763538
Santa Fe,Educación superior,29.83511444346124,49.06897728709288,164.46719981611128,566,756,235210.25976321902,298235.90469950764,533446.1644627267
Santa Fe,Hasta secundario incompleto,40.23023190778268,23.770961143733274,59.08730826663392,733,354,317161.9574409895,144477.31528618842,461639.27272717794
Santa Fe,Secundario completo,29.934653648756075,27.16006156917386,90.73117026126837,614,416,235994.99422027598,165075.8989001295,401070.8931204055
Santiago del Estero,Educación superior,21.81599694240224,39.65448822532664,181.76793996635084,240,315,36950.767134820315,43582.597344003625,80533.36447882393
Santiago del Estero,Hasta secundario incompleto,48.52532514244179,33.248628316477735,68.51809486877076,581,286,82189.59666219905,36542.1833695989,118731.78003179794
Santiago del Estero,Secundario completo,29.658677915155963,27.09688345819563,91.3624118233159,364,227,50234.280104775775,29781.056669435933,80015.33677421171
TdF,Educación superior,25.63060414716966,45.15938354086075,176.1932074700924,104,127,11062.987164865945,12849.148792628768,23912.135957494713
TdF,Hasta secundario incompleto,23.06983139692465,13.394089744757215,58.05889741588112,96,40,9957.675877413229,3811.005345466861,13768.68122288009
TdF,Secundario completo,51.29956445590569,41.446526714382024,80.79313568053233,224,133,22142.530073820704,11792.733800471342,33935.263874292046
Tucumán,Educación superior,23.474543455334317,42.22137503159373,179.86026059220083,325,467,74968.07932885652,94638.30762667768,169606.3869555342
Tucumán,Hasta secundario incompleto,49.76870350327793,33.610862671107704,67.53413351202524,775,371,158940.85946452085,75338.02863327162,234278.88809779246
Tucumán,Secundario completo,26.756753041387732,24.167762297298555,90.3239726431511,405,280,85450.11273195008,54171.52144449778,139621.63417644787
